interaction_id,date,customer_id,product_type,customer_tier,tenure_months,queue,interaction_type,agent_id,agent_tenure_months,sentiment_score,duration_sec,agent_disposition,transferred_flag,department_transferred,disconnected_by,legal_mention,high_risk_phrase,scenario_label,escalation_validity
INT-79352,2/1/2026,CUS-5119,Travel Platinum,Preferred,71,Transaction Disputes,Call,AGT-100,49,0.36,529,Provided Adjustment,N,None,Customer,,,Normal,No_Escalation_Required
INT-99353,6/19/2025,CUS-9797,Everyday Blue,Private Wealth,97,Transaction Disputes,Chat,AGT-117,5,0.54,1453,Follow Up Needed,N,None,Customer,,,Normal,No_Escalation_Required
INT-24621,3/22/2025,CUS-5808,Travel Platinum,Mass Market,56,Transaction Disputes,Call,AGT-110,13,-0.09,3017,Ticket Closed,N,None,None,,,Normal,No_Escalation_Required
INT-44522,3/24/2025,CUS-9201,Reserve Infinite,Private Wealth,98,VIP Services,Call,AGT-111,34,0.02,495,Follow Up Needed,N,None,Customer,,,Normal,No_Escalation_Required
INT-91959,12/23/2025,CUS-5889,Reserve Infinite,Preferred,108,Account Access,Chat,AGT-140,27,0.02,874,Escalated to Trust & Safety,N,None,Customer,,,Normal,Invalid_Disposition
INT-30032,9/25/2025,CUS-7126,Small Business Elite,Private Wealth,98,Credit Line,Call,AGT-110,6,0.08,3249,Customer Education,N,None,Customer,,,Normal,No_Escalation_Required
INT-79514,12/8/2025,CUS-1009,Reserve Infinite,Preferred,77,Collections,Call,AGT-120,17,-0.02,518,Escalated to Trust & Safety,N,None,Customer,,,Normal,Invalid_Disposition
INT-57576,11/10/2025,CUS-6038,Small Business Elite,Private Wealth,31,VIP Services,Chat,AGT-103,10,-0.52,2383,Escalated to Lead,N,None,None,,,Normal,Invalid_Disposition
INT-20322,8/31/2025,CUS-2403,Small Business Elite,Mass Market,94,Collections,Call,AGT-131,11,-0.81,3175,Escalated to Lead,Y,General Support,Customer,,I'm facing eviction,Risk_Vulnerability_FAILURE_WrongRoute,Valid_Escalation
INT-79822,2/7/2026,CUS-3060,Reserve Infinite,Mass Market,17,Card Services,Call,AGT-142,41,-0.05,2311,Provided Adjustment,N,None,Customer,,,Normal,No_Escalation_Required
INT-31643,7/5/2025,CUS-5342,Everyday Blue,Preferred,68,Collections,Call,AGT-138,18,-0.25,927,Escalated to Lead,Y,Tier 3,Customer,,Crisis situation,Risk_Vulnerability,Valid_Escalation
INT-80686,9/6/2025,CUS-4295,Reserve Infinite,Private Wealth,92,Credit Line,Call,AGT-119,26,-0.2,2811,Resolved,N,None,Customer,,,Normal,No_Escalation_Required
INT-95180,12/16/2025,CUS-7118,Travel Platinum,Private Wealth,57,Fraud Ops,Call,AGT-133,15,-0.1,1075,Resolved,N,None,Customer,,,Normal,No_Escalation_Required
INT-39451,9/30/2025,CUS-2049,Small Business Elite,Mass Market,44,Account Access,Chat,AGT-101,22,0.18,1002,Callback Requested,N,None,Customer,,,Normal,No_Escalation_Required
INT-87128,12/28/2025,CUS-4608,Small Business Elite,Private Wealth,1,Transaction Disputes,Call,AGT-104,25,0.42,301,Follow Up Needed,N,None,Customer,,,Normal,No_Escalation_Required
INT-40007,9/15/2025,CUS-2104,Travel Platinum,Preferred,116,Credit Line,Chat,AGT-102,18,0.72,350,Escalated to Lead,N,None,Customer,,,Normal,Invalid_Disposition
INT-77391,11/1/2025,CUS-4899,Everyday Blue,Private Wealth,36,Transaction Disputes,Call,AGT-142,29,-0.03,2268,Provided Adjustment,N,None,Customer,,,Normal,No_Escalation_Required
INT-27342,3/5/2025,CUS-8744,Small Business Elite,Private Wealth,32,Transaction Disputes,Call,AGT-150,11,-0.05,1727,Duplicate Ticket Exists,N,None,Agent,,,Normal,No_Escalation_Required
INT-34957,5/11/2025,CUS-2545,Everyday Blue,Mass Market,13,General Inquiry,Call,AGT-142,45,-0.14,1794,Provided Adjustment,N,None,None,,,Normal,No_Escalation_Required
INT-63883,6/2/2025,CUS-8651,Small Business Elite,Affluent,111,Account Access,Chat,AGT-146,15,-0.89,2736,Provided Adjustment,N,None,Customer,,,Normal,No_Escalation_Required
INT-94696,3/18/2025,CUS-2612,Travel Platinum,Preferred,8,General Inquiry,Chat,AGT-125,46,0.46,3339,Callback Requested,N,None,Customer,,,Normal,No_Escalation_Required
INT-24322,5/12/2025,CUS-5073,Reserve Infinite,Affluent,25,Credit Line,Call,AGT-112,10,0.07,634,Ticket Closed,N,None,Customer,,,Normal,No_Escalation_Required
INT-65296,3/25/2025,CUS-4006,Small Business Elite,Mass Market,36,Transaction Disputes,Call,AGT-129,30,-0.5,368,Ticket Closed,N,None,Customer,,,Normal,No_Escalation_Required
INT-68082,5/29/2025,CUS-2604,Small Business Elite,Mass Market,7,Collections,Call,AGT-141,26,1,3484,Resolved,N,None,Customer,,,Normal,No_Escalation_Required
INT-11934,10/7/2025,CUS-2528,Travel Platinum,Mass Market,119,Account Access,Chat,AGT-148,7,0.7,741,Provided Adjustment,N,None,Customer,,,Normal,No_Escalation_Required
INT-63269,6/30/2025,CUS-8956,Reserve Infinite,Preferred,62,Fraud Ops,Call,AGT-113,20,0.73,300,Resolved,N,None,Customer,,,Normal,No_Escalation_Required
INT-31579,7/2/2025,CUS-7209,Everyday Blue,Preferred,1,Credit Line,Call,AGT-124,40,-0.47,3271,Follow Up Needed,N,None,Customer,,,Normal,No_Escalation_Required
INT-69638,5/4/2025,CUS-5673,Small Business Elite,Mass Market,55,Card Services,Call,AGT-144,37,0.91,3268,Duplicate Ticket Exists,N,None,Customer,,,Normal,No_Escalation_Required
INT-82845,5/25/2025,CUS-8973,Travel Platinum,Mass Market,20,Credit Line,Call,AGT-112,12,-0.41,299,Requires More Info,N,None,Customer,,,Normal,No_Escalation_Required
INT-85914,1/24/2026,CUS-9883,Reserve Infinite,Private Wealth,8,Fraud Ops,Chat,AGT-147,31,-0.37,265,Provided Adjustment,N,None,Customer,,,Normal,No_Escalation_Required
INT-86569,10/11/2025,CUS-8811,Travel Platinum,Affluent,65,VIP Services,Chat,AGT-133,11,-0.69,2140,Escalated to Trust & Safety,Y,Trust & Safety,Customer,Reporting you to the FTC,,Legal_Explicit Regulatory,Valid_Escalation
INT-20500,9/27/2025,CUS-4044,Reserve Infinite,Preferred,9,Transaction Disputes,Call,AGT-138,44,-0.86,3590,Follow Up Needed,N,None,Customer,,,Normal,No_Escalation_Required
INT-40828,4/20/2025,CUS-7615,Small Business Elite,Mass Market,16,Tech Support,Call,AGT-136,14,-0.51,2495,Duplicate Ticket Exists,N,None,Customer,,,Normal,No_Escalation_Required
INT-15209,11/10/2025,CUS-2343,Reserve Infinite,Preferred,54,VIP Services,Chat,AGT-142,24,0.17,2201,Resolved,N,None,Customer,,,Normal,No_Escalation_Required
INT-51467,4/17/2025,CUS-5272,Travel Platinum,Affluent,27,Card Services,Chat,AGT-142,6,0.43,1037,Duplicate Ticket Exists,N,None,Customer,,,Normal,No_Escalation_Required
INT-44814,7/5/2025,CUS-7484,Travel Platinum,Affluent,17,Card Services,Call,AGT-142,16,0.29,1932,Requires More Info,N,None,Customer,,,Normal,No_Escalation_Required
INT-51441,2/13/2026,CUS-2188,Small Business Elite,Mass Market,2,Credit Line,Call,AGT-129,42,0.24,2366,Ticket Closed,N,None,None,,,Normal,No_Escalation_Required
INT-23104,10/8/2025,CUS-2200,Small Business Elite,Private Wealth,69,Transaction Disputes,Call,AGT-113,28,0.01,602,Requires More Info,N,None,None,,,Normal,No_Escalation_Required
INT-55745,9/8/2025,CUS-2127,Reserve Infinite,Private Wealth,113,Account Access,Call,AGT-115,29,-0.26,706,Escalated to Trust & Safety,N,None,Customer,,,Normal,Invalid_Disposition
INT-67433,10/24/2025,CUS-9900,Everyday Blue,Private Wealth,91,Card Services,Call,AGT-119,18,0.22,3365,Escalated to Lead,N,None,Customer,,,Normal,Invalid_Disposition
INT-95717,12/21/2025,CUS-9666,Travel Platinum,Affluent,2,Fraud Ops,Call,AGT-142,16,0.63,1286,Ticket Closed,N,None,Customer,,,Normal,No_Escalation_Required
INT-96951,11/27/2025,CUS-2697,Small Business Elite,Affluent,113,Fraud Ops,Call,AGT-108,14,-0.47,498,Escalated to Lead,N,None,Customer,,,Normal,Invalid_Disposition
INT-82512,5/11/2025,CUS-3546,Everyday Blue,Private Wealth,35,Tech Support,Call,AGT-118,19,0.21,2999,Ticket Closed,N,None,Customer,,,Normal,No_Escalation_Required
INT-54942,2/28/2025,CUS-4335,Reserve Infinite,Private Wealth,88,Tech Support,Call,AGT-140,25,0.71,2130,Escalated to Lead,N,None,Customer,,,Normal,Invalid_Disposition
INT-74032,6/12/2025,CUS-5114,Everyday Blue,Affluent,116,Tech Support,Call,AGT-103,45,-0.82,1794,Requires More Info,N,None,Customer,,,Normal,No_Escalation_Required
INT-46265,5/25/2025,CUS-1722,Everyday Blue,Affluent,1,General Inquiry,Call,AGT-121,9,0.54,2669,Customer Education,N,None,Customer,,,Normal,No_Escalation_Required
INT-44335,5/5/2025,CUS-3647,Everyday Blue,Mass Market,95,Credit Line,Call,AGT-128,42,0.1,1811,Resolved,N,None,Customer,,,Normal,No_Escalation_Required
INT-83519,1/27/2026,CUS-1158,Reserve Infinite,Affluent,15,General Inquiry,Chat,AGT-104,48,0.89,2890,Provided Adjustment,N,None,Customer,,,Normal,No_Escalation_Required
INT-29536,1/2/2026,CUS-9938,Everyday Blue,Mass Market,5,Card Services,Call,AGT-123,15,0.17,666,Duplicate Ticket Exists,N,None,Customer,,,Normal,No_Escalation_Required
INT-66333,6/11/2025,CUS-3088,Everyday Blue,Private Wealth,6,VIP Services,Call,AGT-119,9,-0.27,3320,Requires More Info,N,None,None,,,Normal,No_Escalation_Required
INT-15229,10/14/2025,CUS-6862,Reserve Infinite,Affluent,27,Card Services,Chat,AGT-143,42,-0.5,481,Resolved,N,None,Customer,,,Normal,No_Escalation_Required
INT-56357,7/11/2025,CUS-7658,Travel Platinum,Mass Market,80,Transaction Disputes,Chat,AGT-147,38,-0.69,1029,Ticket Closed,N,None,Customer,,,Normal,No_Escalation_Required
INT-31299,1/16/2026,CUS-3900,Travel Platinum,Mass Market,113,Fraud Ops,Chat,AGT-126,22,-0.95,3076,Escalated to Trust & Safety,Y,Trust & Safety,Agent,This violates my consumer rights,,Legal_Implied,Valid_Escalation
INT-53540,8/3/2025,CUS-7745,Everyday Blue,Affluent,103,Transaction Disputes,Chat,AGT-142,43,0.73,3380,Follow Up Needed,N,None,Customer,,,Normal,No_Escalation_Required
INT-42527,5/24/2025,CUS-5371,Reserve Infinite,Preferred,21,Collections,Call,AGT-150,24,-0.76,1626,Provided Adjustment,N,None,Customer,,Shut up and listen,Risk_Abuse,Missed_Escalation
INT-15075,5/18/2025,CUS-8711,Travel Platinum,Mass Market,29,Collections,Call,AGT-112,18,-0.76,1945,Escalated to Lead,Y,Tier 3,Customer,,Crisis situation,Risk_Vulnerability,Valid_Escalation
INT-55830,9/9/2025,CUS-6000,Everyday Blue,Affluent,106,General Inquiry,Call,AGT-150,33,0.74,973,Resolved,N,None,Customer,,,Normal,No_Escalation_Required
INT-13101,5/23/2025,CUS-4164,Travel Platinum,Mass Market,52,Transaction Disputes,Call,AGT-121,40,-0.44,344,Ticket Closed,N,None,Customer,,,Normal,No_Escalation_Required
INT-46585,9/18/2025,CUS-6753,Reserve Infinite,Private Wealth,83,Card Services,Chat,AGT-132,23,-0.2,3515,Customer Education,N,None,Customer,,,Normal,No_Escalation_Required
INT-80282,1/10/2026,CUS-6425,Everyday Blue,Mass Market,4,Account Access,Call,AGT-107,23,0.75,1129,Escalated to Trust & Safety,N,None,Customer,,,Normal,Invalid_Disposition
INT-33405,7/12/2025,CUS-5349,Everyday Blue,Affluent,5,Credit Line,Chat,AGT-106,43,0.19,1475,Ticket Closed,N,None,None,,,Normal,No_Escalation_Required
INT-51114,5/8/2025,CUS-8149,Small Business Elite,Preferred,78,Tech Support,Call,AGT-132,20,-0.77,2421,Ticket Closed,N,None,Customer,,,Normal,No_Escalation_Required
INT-34914,2/16/2026,CUS-5173,Small Business Elite,Preferred,6,Tech Support,Call,AGT-145,13,-0.13,2189,Resolved,N,None,Customer,,,Normal,No_Escalation_Required
INT-80575,8/21/2025,CUS-4228,Everyday Blue,Affluent,47,Credit Line,Call,AGT-127,23,-0.86,2780,Provided Adjustment,N,None,Customer,,,Normal,No_Escalation_Required
INT-53279,3/22/2025,CUS-6143,Reserve Infinite,Affluent,85,Fraud Ops,Chat,AGT-107,32,0.44,1290,Ticket Closed,N,None,None,,,Normal,No_Escalation_Required
INT-76469,3/6/2025,CUS-6067,Reserve Infinite,Affluent,86,Fraud Ops,Call,AGT-126,6,-0.35,2915,Follow Up Needed,N,None,Customer,,,Normal,No_Escalation_Required
INT-48752,3/29/2025,CUS-3085,Reserve Infinite,Affluent,25,Transaction Disputes,Call,AGT-126,26,0.33,1612,Escalated to Trust & Safety,N,None,Customer,,,Normal,Invalid_Disposition
INT-98777,10/4/2025,CUS-3851,Everyday Blue,Mass Market,79,Fraud Ops,Call,AGT-136,19,-0.54,2304,Requires More Info,N,None,Agent,,Stop lying to me,Risk_Abuse,Missed_Escalation
INT-10053,12/3/2025,CUS-5978,Travel Platinum,Mass Market,37,Transaction Disputes,Chat,AGT-113,59,-0.14,2435,Requires More Info,N,None,Customer,,,Normal,No_Escalation_Required
INT-89516,7/21/2025,CUS-6279,Everyday Blue,Preferred,60,Card Services,Call,AGT-128,39,-0.12,935,Escalated to Trust & Safety,Y,Trust & Safety,Customer,I will sue your company,,Legal_Inexplicit,Valid_Escalation
INT-77000,3/12/2025,CUS-8752,Everyday Blue,Mass Market,102,Collections,Call,AGT-150,12,0.47,2758,Escalated to Lead,N,None,Customer,,,Normal,Invalid_Disposition
INT-21114,7/6/2025,CUS-5649,Travel Platinum,Affluent,66,Tech Support,Call,AGT-142,29,0.27,1432,Provided Adjustment,N,None,Customer,,,Normal,No_Escalation_Required
INT-22240,2/15/2026,CUS-4848,Travel Platinum,Preferred,87,Transaction Disputes,Chat,AGT-119,50,-0.55,875,Resolved,N,None,Customer,,,Normal,No_Escalation_Required
INT-29313,8/29/2025,CUS-1400,Travel Platinum,Private Wealth,6,VIP Services,Chat,AGT-115,27,0.97,2563,Requires More Info,N,None,Customer,,,Normal,No_Escalation_Required
INT-19545,2/6/2026,CUS-8461,Travel Platinum,Preferred,54,Fraud Ops,Call,AGT-140,26,0.15,3002,Provided Adjustment,N,None,None,,,Normal,No_Escalation_Required
INT-60328,12/28/2025,CUS-9099,Small Business Elite,Mass Market,52,Account Access,Chat,AGT-115,22,-0.7,2876,Requires More Info,N,None,Customer,,,Normal,No_Escalation_Required
INT-10726,2/21/2025,CUS-2746,Travel Platinum,Mass Market,100,Transaction Disputes,Chat,AGT-127,35,-0.56,3353,Ticket Closed,N,None,Customer,,,Normal,No_Escalation_Required
INT-77889,11/7/2025,CUS-8611,Travel Platinum,Private Wealth,7,Account Access,Call,AGT-135,6,-0.5,3534,Provided Adjustment,N,None,Customer,,,Normal,No_Escalation_Required
INT-25906,10/23/2025,CUS-8478,Travel Platinum,Affluent,18,VIP Services,Call,AGT-129,10,0.34,2349,Customer Education,N,None,Customer,,,Normal,No_Escalation_Required
INT-88047,8/31/2025,CUS-6198,Reserve Infinite,Mass Market,97,Tech Support,Call,AGT-128,42,0.23,3006,Escalated to Lead,N,None,Customer,,,Normal,Invalid_Disposition
INT-76162,5/25/2025,CUS-7991,Small Business Elite,Mass Market,107,Collections,Call,AGT-135,11,-0.11,711,Follow Up Needed,N,None,Customer,,,Normal,No_Escalation_Required
INT-72216,10/8/2025,CUS-8373,Travel Platinum,Mass Market,34,Transaction Disputes,Chat,AGT-148,20,-0.51,2671,Escalated to Trust & Safety,N,None,Customer,,,Normal,Invalid_Disposition
INT-46347,3/29/2025,CUS-9540,Everyday Blue,Preferred,63,General Inquiry,Call,AGT-140,36,-0.52,1861,Callback Requested,N,None,Agent,,,Normal,No_Escalation_Required
INT-20155,7/25/2025,CUS-5681,Small Business Elite,Preferred,31,Transaction Disputes,Chat,AGT-117,40,-0.33,2272,Customer Education,N,None,Customer,,,Normal,No_Escalation_Required
INT-20561,8/1/2025,CUS-3267,Small Business Elite,Preferred,20,Tech Support,Call,AGT-114,13,-0.23,685,Callback Requested,N,None,Customer,,,Normal,No_Escalation_Required
INT-38043,1/31/2026,CUS-2052,Reserve Infinite,Affluent,54,Tech Support,Chat,AGT-126,31,-0.34,1968,Escalated to Lead,N,None,Customer,,,Normal,Invalid_Disposition
INT-64496,1/2/2026,CUS-2020,Reserve Infinite,Mass Market,27,Collections,Call,AGT-126,9,-0.22,3213,Ticket Closed,N,None,Customer,,,Normal,No_Escalation_Required
INT-86556,5/24/2025,CUS-1320,Travel Platinum,Affluent,110,Transaction Disputes,Call,AGT-148,8,0.15,2013,Escalated to Trust & Safety,N,None,Customer,,,Normal,Invalid_Disposition
INT-10772,8/18/2025,CUS-6763,Everyday Blue,Private Wealth,39,General Inquiry,Call,AGT-148,17,-0.22,3483,Customer Education,N,None,Customer,,,Normal,No_Escalation_Required
INT-64921,4/23/2025,CUS-9818,Everyday Blue,Affluent,96,Fraud Ops,Call,AGT-147,33,0.09,2530,Ticket Closed,N,None,Customer,,,Normal,No_Escalation_Required
INT-38906,1/16/2026,CUS-8999,Travel Platinum,Private Wealth,29,Credit Line,Call,AGT-117,28,-0.13,178,Follow Up Needed,N,None,Customer,,,Normal,No_Escalation_Required
INT-60968,12/31/2025,CUS-6507,Travel Platinum,Mass Market,86,Transaction Disputes,Call,AGT-143,9,0.6,3026,Customer Education,N,None,Agent,,,Normal,No_Escalation_Required
INT-31632,6/5/2025,CUS-8657,Reserve Infinite,Affluent,118,Tech Support,Call,AGT-108,38,0.96,2247,Callback Requested,N,None,Customer,,,Normal,No_Escalation_Required
INT-13534,10/8/2025,CUS-7455,Small Business Elite,Affluent,76,Tech Support,Chat,AGT-136,42,0.33,403,Customer Education,N,None,Customer,,,Normal,No_Escalation_Required
INT-94246,9/27/2025,CUS-8022,Travel Platinum,Mass Market,18,Credit Line,Call,AGT-129,22,-0.64,1125,Resolved,N,None,Customer,,,Normal,No_Escalation_Required
INT-59689,4/13/2025,CUS-6363,Small Business Elite,Preferred,28,Tech Support,Call,AGT-129,14,-0.35,3177,Ticket Closed,N,None,Customer,,,Normal,No_Escalation_Required
INT-59692,11/22/2025,CUS-5558,Small Business Elite,Mass Market,97,Collections,Call,AGT-126,32,-0.5,395,Ticket Closed,N,None,Customer,,,Normal,No_Escalation_Required
INT-71644,9/1/2025,CUS-1317,Reserve Infinite,Mass Market,96,Credit Line,Call,AGT-134,22,-0.9,1493,Provided Adjustment,N,None,Customer,,,Normal,No_Escalation_Required
INT-39389,11/28/2025,CUS-2124,Reserve Infinite,Private Wealth,100,Fraud Ops,Call,AGT-141,10,-0.9,187,Escalated to Lead,N,None,Customer,,Shut up and listen,Risk_Abuse,Failed_Escalation
INT-42411,8/29/2025,CUS-4266,Everyday Blue,Private Wealth,108,Fraud Ops,Call,AGT-101,14,0.24,1037,Resolved,N,None,Customer,,,Normal,No_Escalation_Required
INT-26544,2/17/2025,CUS-8758,Travel Platinum,Preferred,86,Tech Support,Call,AGT-107,19,0.13,952,Duplicate Ticket Exists,N,None,Customer,,,Normal,No_Escalation_Required
INT-70952,6/15/2025,CUS-5198,Reserve Infinite,Preferred,99,Fraud Ops,Chat,AGT-123,46,-0.66,2547,Provided Adjustment,N,None,Customer,,,Normal,No_Escalation_Required
INT-25012,2/24/2025,CUS-3683,Small Business Elite,Private Wealth,40,Tech Support,Chat,AGT-106,25,0.16,1337,Resolved,N,None,Customer,,,Normal,No_Escalation_Required
INT-85470,1/22/2026,CUS-7149,Reserve Infinite,Mass Market,51,Collections,Call,AGT-145,37,-0.6,2485,Customer Education,N,None,Customer,,,Normal,No_Escalation_Required
INT-92213,1/3/2026,CUS-4978,Reserve Infinite,Preferred,14,General Inquiry,Chat,AGT-144,37,0.54,3542,Provided Adjustment,N,None,Customer,,,Normal,No_Escalation_Required
INT-99687,12/17/2025,CUS-2983,Everyday Blue,Affluent,102,Transaction Disputes,Call,AGT-136,20,0.57,1482,Escalated to Trust & Safety,N,None,Customer,,,Normal,Invalid_Disposition
INT-79827,6/9/2025,CUS-8018,Small Business Elite,Preferred,85,Fraud Ops,Call,AGT-123,7,-0.86,2712,Provided Adjustment,N,None,Customer,,,Normal,No_Escalation_Required
INT-54725,3/10/2025,CUS-1207,Small Business Elite,Preferred,109,Collections,Call,AGT-126,16,0.64,492,Escalated to Trust & Safety,N,None,Customer,,,Normal,Invalid_Disposition
INT-66822,1/3/2026,CUS-6934,Everyday Blue,Private Wealth,82,VIP Services,Call,AGT-129,57,0.41,1843,Duplicate Ticket Exists,N,None,Customer,,,Normal,No_Escalation_Required
INT-33086,1/28/2026,CUS-9548,Travel Platinum,Preferred,84,Transaction Disputes,Chat,AGT-117,12,0.23,2264,Escalated to Trust & Safety,Y,General Support,Customer,Here is my case number,,Legal_Litigation_FAILURE_WrongRoute,Valid_Escalation
INT-73372,3/20/2025,CUS-8616,Small Business Elite,Mass Market,56,Credit Line,Call,AGT-146,9,0.18,1380,Customer Education,N,None,Customer,,,Normal,No_Escalation_Required
INT-42177,8/13/2025,CUS-2419,Small Business Elite,Mass Market,36,Tech Support,Chat,AGT-128,21,-0.51,1963,Escalated to Lead,N,None,Customer,,,Normal,Invalid_Disposition
INT-84691,3/14/2025,CUS-7209,Reserve Infinite,Preferred,44,Collections,Call,AGT-101,24,-0.01,1391,Customer Education,N,None,Customer,,,Normal,No_Escalation_Required
INT-33834,11/21/2025,CUS-8988,Reserve Infinite,Preferred,28,Tech Support,Call,AGT-122,13,0.6,1454,Ticket Closed,N,None,Customer,,,Normal,No_Escalation_Required
INT-46655,11/23/2025,CUS-5526,Small Business Elite,Mass Market,72,Fraud Ops,Chat,AGT-100,14,0.03,842,Customer Education,N,None,None,,,Normal,No_Escalation_Required
INT-21221,4/4/2025,CUS-4954,Reserve Infinite,Private Wealth,93,Card Services,Call,AGT-126,4,-0.02,3165,Ticket Closed,N,None,Customer,,,Normal,No_Escalation_Required
INT-41499,8/9/2025,CUS-8800,Travel Platinum,Preferred,83,Collections,Chat,AGT-145,46,-0.02,3307,Escalated to Trust & Safety,N,None,Customer,,,Normal,Invalid_Disposition
INT-12260,9/5/2025,CUS-2524,Travel Platinum,Preferred,38,Card Services,Chat,AGT-114,38,-0.19,1056,Escalated to Trust & Safety,N,None,Agent,,,Normal,Invalid_Disposition
INT-50135,5/24/2025,CUS-7046,Reserve Infinite,Affluent,61,VIP Services,Call,AGT-135,26,0.06,1802,Resolved,N,None,Customer,,,Normal,No_Escalation_Required
INT-82140,1/1/2026,CUS-6419,Reserve Infinite,Mass Market,46,General Inquiry,Call,AGT-144,26,-0.09,1315,Resolved,N,None,Agent,,,Normal,No_Escalation_Required
